id,reparto,Director
41611,"['Barbara Stanwyck', 'Barry Sullivan', 'Ralph Meeker', 'Lee Aaker', 'Rico Alaniz', 'Charles Stevens', 'Juan Torena', 'Paul Fierro']",John Sturges
43137,"['Clark Gable', 'Doris Day', 'Gig Young', 'Mamie Van Doren', 'Nick Adams', 'Peter Baldwin', 'Marion Ross', 'Charles Lane', 'Jack Albertson', 'Florenz Ames', 'Sandra Gould', 'Harry Antrim', 'Vivian Nathan', 'Bess Flowers']",George Seaton
370687,"['Melanie Stone', 'Adam Johnson', 'Kevin Sorbo', 'Nicola Posener', 'Jake Stormoen', 'Christopher Robin Miller', 'Matthew Mercer', 'Philip Brodie', 'Robert Jayne', 'Evie Brodie', 'Dave Bresnahan']",A. Todd Smith
8848,"['Jason Statham', 'Saffron Burrows', 'Stephen Campbell Moore', 'Daniel Mays', 'James Faulkner', 'Alki David', 'Michael Jibson', 'Georgia Taylor', 'Richard Lintern', 'Peter Bowles', 'Alistair Petrie', 'Hattie Morahan', 'Julian Lewis Jones', 'Andrew Brooke', 'Rupert Frazer', 'Keeley Hawes', 'Don Gallagher', 'Craig Fairbrass', 'Gerard Horan', 'David Suchet', 'Peter de Jersey', 'Colin Salmon', 'Sharon Maughan', 'Angus Wright', 'Dylan Charles', 'Julian Firth', 'Antony Gabriel']",Roger Donaldson
295111,"['Benjamin Lutzke', 'Sascha Gisler', 'Ella Rumpf', 'Ste', 'Livia S. Reinhard']",Simon Jaquemet
42743,"['George Nader', 'Barbara Nichols', 'George Macready', 'Richard Kiel', 'Hugh Beaumont', 'Dolores Faith', 'Richard Arlen', 'John Indrisano', 'Ted Durant', 'Margaret Teele', ""Alean 'Bambi' Hamilton"", 'Walter Abel']",Hugo Grimaldi
56489,[],Ulrich Seidl
281230,"['Eric Stoltz', 'Kate Connor', 'Lyndsy Fonseca', 'Andy Hirsch', 'Camryn Manheim', 'Seymour Cassel']",Michael Worth
86531,"['Daniel Tavares', 'Diego Torraca', 'Eduardo Mello', 'Eleio Calascibetta']",Daniel Ribeiro
78326,"['Witold Dębicki', 'Piotr Garlicki', 'Marta Honzatko', 'Michał Kowalski', 'Marta Kalmus', 'Cezary Rybiński', 'Piotr Andruszkiewicz', 'Wojciech Tremiszewski']",Antoni Krauze
52021,"['Anders Hove', 'Denice Duff', 'Kevin Spirtas', 'Melanie Shatner', 'Pamela Gordon', 'Ion Haiduc', 'Michael Della Femina', 'Michael Denish', 'Nicolae Urs', 'Radu Minculescu', 'Elvira Deatcu', 'Camelia Zorlescu', 'Theodor Danetti', 'Florin Ionescu', 'Rodica Horobet']",Ted Nicolaou
817,"['Mike Myers', 'Heather Graham', 'Michael York', 'Robert Wagner', 'Rob Lowe', 'Seth Green', 'Mindy Sterling', 'Verne Troyer', 'Elizabeth Hurley', 'Gia Carides', 'Oliver Muirhead', 'Muse Watson', 'Scott Cooper', 'Kevin Cooney', 'Will Ferrell', 'Faune A. Chambers', 'Douglas Fisher', 'Woody Harrelson']",Jay Roach
43452,"['William Bendix', 'Claire Trevor', 'Charles Bickford', 'Sam Levene', 'William Frawley', 'Eve Whitney']",Roy Del Ruth
367524,"['Kareem Abdul-Jabbar', 'Magic Johnson', 'Liev Schreiber', 'Billy Crystal', 'Quincy Jones', 'Herbie Hancock', 'David Zucker', 'Jim Abrahams', 'Arsenio Hall']",Aaron Cohen
110447,"['Isabelle Huppert', 'Alba Rohrwacher', 'Toni Servillo', 'Maya Sansa', 'Michele Riondino', 'Pier Giorgio Bellocchio', 'Gianmarco Tognazzi', 'Brenno Placido', 'Fabrizio Falco', 'Gigio Morra', 'Federica Fracassi', 'Roberto Herlitzka', 'Carlotta Cimador', 'Antonio De Matteo', 'Vanessa Scalera', 'Francesca Golia', 'Cristina Odasso', 'Giulia Maulucci', 'Sara Alzetta', 'Fabrice Scott', 'Enrico Cavallero', 'Riccardo Cirilli', 'Carmelo Galati', 'Simona Nobili', 'Giacomo Tarsi']",Marco Bellocchio
23817,"['Paget Brewster', 'Jeff Branson', 'Jess Weixler', 'Ricky Ullman', 'Avi Setton']",Ishai Setton
47116,"['Jaroslav Tomsa', 'jaroslav pucher', 'Dagmar Kováčiková']",Dušan Trančík
102651,"['Angelina Jolie', 'Elle Fanning', 'Sharlto Copley', 'Sam Riley', 'Juno Temple', 'Imelda Staunton', 'Lesley Manville', 'Brenton Thwaites', 'Isobelle Molloy', 'Miranda Richardson', 'Jamie Sives', 'Toby Regbo', 'Kenneth Cranham', 'Hannah New', 'Ella Purnell', 'Sarah Flind', 'Jackson Bews', 'Angus Wright', 'Oliver Maltman', 'Gary Cargill', ""John O'Toole"", 'Harry Attwell', 'Anthony May', 'James Hicks', 'Stephan Chase', 'Mark Caven', 'Chris Leaney', 'Jamie Maclachlan', 'Vivienne Jolie-Pitt', 'Eleanor Worthington-Cox', 'John MacMillan', 'Tim Treloar', 'Peter G. Reed', 'Marama Corlett', 'Liam McKenna', 'Steven Cree', 'Sandy Fox', 'Janet McTeer', 'Karen Anderson', 'Lasco Atkins', 'James Ayling', 'Laura Black', 'Sophie-Anna Brough', 'Alfred Camp', 'Raf Cross', 'Nick Donald', 'Terri Douglas', 'Damon Driver', 'Josh Dyer', 'Stephanie Elstob', 'Ellis Fuller', 'Craig Garner', 'Alexander Gillison', 'Victoria Gugenheim', 'Daniel Harland', 'Kara Lily Hayworth', 'John Heartstone', 'Matt Hookings', 'Craig Izzard', 'Ceri Jerome', 'Zahara Jolie-Pitt', 'Lee Edward Jones', 'Hrvoje Klecz', 'Alex Marek', 'João Costa Menezes', 'Karen Mkrtchyan', 'Matthew John Morley', 'Steven John Nice', 'Edd Osmond', 'Jo Osmond', 'Andrew James Porter', 'Guy Potter', 'Marc Rolfe', 'Jd Roth-round', 'Julian Seager', 'Peter Stacey', 'Daniel Stisen', 'Richard Summers-Calvert', 'Leo Suter', 'Tom Swacha', 'Daniel Westwood', ""Christian Wolf-La'Moy ""]",Robert Stromberg
40978,"['Sylvia Kristel', 'Mia Nygren', 'Patrick Bauchau', 'Deborah Power', 'Sophie Berger', 'Gérard Dimiglio', 'Sonja Martin', 'Christian Marquand', 'Marilyn Jess', 'Isabelle Estelle', 'Christoph Clark', 'Gérard-Antoine Huart', 'David Jalil', 'Fabrice Luchini', 'Xavier Fultot', 'Christopher Young', 'Trevor A. Stephens', 'Aline Mess', 'Cathy Ménard', 'Brinke Stevens']",Francis Leroi
181283,"['Tom Hardy', 'Gary Oldman', 'Noomi Rapace', 'Joel Kinnaman', 'Paddy Considine', 'Jason Clarke', 'Mark Lewis Jones', 'Vincent Cassel', 'Fares Fares', 'Nikolaj Lie Kaas', 'Charles Dance', 'Xavier Atkins', 'Karel Dobrey', 'Agnieszka Grochowska', 'Petr Vaněk', 'Jana Stryková', 'Ursina Lardi', 'Michael Nardone', 'Finbar Lynch', 'Tara Fitzgerald', 'Josef Altin', 'Sam Spruell', 'Lorraine Ashbourne', 'Ned Dennehy']",Daniel Espinosa
17181,"['Hugo Armstrong', 'Rosalind Chao', 'Stephen Dorff', 'John Getz', 'Mariel Hemingway', 'Michelle Krusiec', 'Chris Mulkey', 'Woody Harrelson']",Bill Guttentag
